nameWithOwner,createdAt,languages,stargazers,url,sshUrl,releases
spring-projects/spring-framework,2010-12-08T04:04:45Z,"{'totalSize': 41867909, 'totalCount': 16, 'edges': [{'size': 41310621, 'node': {'name': 'Java'}}]}",{'totalCount': 39522},https://github.com/spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,{'totalCount': 188}
google/guava,2014-05-29T16:23:17Z,"{'totalSize': 26641839, 'totalCount': 4, 'edges': [{'size': 26627942, 'node': {'name': 'Java'}}]}",{'totalCount': 38919},https://github.com/google/guava,git@github.com:google/guava.git,{'totalCount': 29}
square/okhttp,2012-07-23T13:42:55Z,"{'totalSize': 3159241, 'totalCount': 3, 'edges': [{'size': 1605764, 'node': {'name': 'Java'}}]}",{'totalCount': 38347},https://github.com/square/okhttp,git@github.com:square/okhttp.git,{'totalCount': 0}
square/retrofit,2010-09-06T21:39:43Z,"{'totalSize': 1194095, 'totalCount': 5, 'edges': [{'size': 1150942, 'node': {'name': 'Java'}}]}",{'totalCount': 36646},https://github.com/square/retrofit,git@github.com:square/retrofit.git,{'totalCount': 27}
apache/dubbo,2012-06-19T07:56:02Z,"{'totalSize': 9744379, 'totalCount': 6, 'edges': [{'size': 9694176, 'node': {'name': 'Java'}}]}",{'totalCount': 33688},https://github.com/apache/dubbo,git@github.com:apache/dubbo.git,{'totalCount': 27}
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,"{'totalSize': 1317015, 'totalCount': 1, 'edges': [{'size': 1317015, 'node': {'name': 'Java'}}]}",{'totalCount': 31813},https://github.com/PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,{'totalCount': 44}
TheAlgorithms/Java,2016-07-16T10:21:02Z,"{'totalSize': 560793, 'totalCount': 1, 'edges': [{'size': 560793, 'node': {'name': 'Java'}}]}",{'totalCount': 30262},https://github.com/TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,{'totalCount': 0}
bumptech/glide,2013-07-08T22:52:33Z,"{'totalSize': 2996285, 'totalCount': 2, 'edges': [{'size': 2976095, 'node': {'name': 'Java'}}]}",{'totalCount': 29966},https://github.com/bumptech/glide,git@github.com:bumptech/glide.git,{'totalCount': 35}
airbnb/lottie-android,2016-10-06T22:42:42Z,"{'totalSize': 876975, 'totalCount': 4, 'edges': [{'size': 667325, 'node': {'name': 'Java'}}]}",{'totalCount': 29764},https://github.com/airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,{'totalCount': 26}
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,"{'totalSize': 2595688, 'totalCount': 4, 'edges': [{'size': 2293369, 'node': {'name': 'Java'}}]}",{'totalCount': 27978},https://github.com/Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,{'totalCount': 115}
zxing/zxing,2011-10-12T14:07:27Z,"{'totalSize': 2484212, 'totalCount': 3, 'edges': [{'size': 2382246, 'node': {'name': 'Java'}}]}",{'totalCount': 26297},https://github.com/zxing/zxing,git@github.com:zxing/zxing.git,{'totalCount': 27}
proxyee-down-org/proxyee-down,2017-10-25T10:07:27Z,"{'totalSize': 270056, 'totalCount': 4, 'edges': [{'size': 159918, 'node': {'name': 'Java'}}]}",{'totalCount': 25555},https://github.com/proxyee-down-org/proxyee-down,git@github.com:proxyee-down-org/proxyee-down.git,{'totalCount': 49}
JakeWharton/butterknife,2013-03-05T08:18:59Z,"{'totalSize': 581548, 'totalCount': 5, 'edges': [{'size': 546650, 'node': {'name': 'Java'}}]}",{'totalCount': 25462},https://github.com/JakeWharton/butterknife,git@github.com:JakeWharton/butterknife.git,{'totalCount': 0}
crossoverJie/JCSprout,2017-12-17T09:06:50Z,"{'totalSize': 168213, 'totalCount': 1, 'edges': [{'size': 168213, 'node': {'name': 'Java'}}]}",{'totalCount': 25281},https://github.com/crossoverJie/JCSprout,git@github.com:crossoverJie/JCSprout.git,{'totalCount': 0}
kon9chunkit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,"{'totalSize': 270450, 'totalCount': 1, 'edges': [{'size': 270450, 'node': {'name': 'Java'}}]}",{'totalCount': 25201},https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,git@github.com:kon9chunkit/GitHub-Chinese-Top-Charts.git,{'totalCount': 0}
netty/netty,2010-11-09T09:22:21Z,"{'totalSize': 17145460, 'totalCount': 9, 'edges': [{'size': 16901514, 'node': {'name': 'Java'}}]}",{'totalCount': 24847},https://github.com/netty/netty,git@github.com:netty/netty.git,{'totalCount': 0}
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,"{'totalSize': 254378, 'totalCount': 5, 'edges': [{'size': 229057, 'node': {'name': 'Java'}}]}",{'totalCount': 23726},https://github.com/ityouknow/spring-boot-examples,git@github.com:ityouknow/spring-boot-examples.git,{'totalCount': 0}
skylot/jadx,2013-03-18T17:08:21Z,"{'totalSize': 2463379, 'totalCount': 3, 'edges': [{'size': 2354453, 'node': {'name': 'Java'}}]}",{'totalCount': 23501},https://github.com/skylot/jadx,git@github.com:skylot/jadx.git,{'totalCount': 13}
alibaba/arthas,2018-08-29T17:15:57Z,"{'totalSize': 3619146, 'totalCount': 12, 'edges': [{'size': 2269198, 'node': {'name': 'Java'}}]}",{'totalCount': 23161},https://github.com/alibaba/arthas,git@github.com:alibaba/arthas.git,{'totalCount': 27}
eugenp/tutorials,2013-04-29T18:26:36Z,"{'totalSize': 24796740, 'totalCount': 32, 'edges': [{'size': 18544693, 'node': {'name': 'Java'}}]}",{'totalCount': 23041},https://github.com/eugenp/tutorials,git@github.com:eugenp/tutorials.git,{'totalCount': 0}
greenrobot/EventBus,2012-07-16T16:55:40Z,"{'totalSize': 302868, 'totalCount': 2, 'edges': [{'size': 290060, 'node': {'name': 'Java'}}]}",{'totalCount': 22868},https://github.com/greenrobot/EventBus,git@github.com:greenrobot/EventBus.git,{'totalCount': 5}
alibaba/fastjson,2011-11-03T06:58:52Z,"{'totalSize': 7290512, 'totalCount': 4, 'edges': [{'size': 7281030, 'node': {'name': 'Java'}}]}",{'totalCount': 22438},https://github.com/alibaba/fastjson,git@github.com:alibaba/fastjson.git,{'totalCount': 79}
ctripcorp/apollo,2016-03-04T10:24:23Z,"{'totalSize': 3190387, 'totalCount': 7, 'edges': [{'size': 2461263, 'node': {'name': 'Java'}}]}",{'totalCount': 22419},https://github.com/ctripcorp/apollo,git@github.com:ctripcorp/apollo.git,{'totalCount': 27}
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,"{'totalSize': 77915563, 'totalCount': 19, 'edges': [{'size': 67142587, 'node': {'name': 'Java'}}]}",{'totalCount': 22357},https://github.com/NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,{'totalCount': 0}
alibaba/druid,2011-11-03T05:12:51Z,"{'totalSize': 16515342, 'totalCount': 8, 'edges': [{'size': 16174863, 'node': {'name': 'Java'}}]}",{'totalCount': 22303},https://github.com/alibaba/druid,git@github.com:alibaba/druid.git,{'totalCount': 36}
scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,"{'totalSize': 1222095, 'totalCount': 2, 'edges': [{'size': 1218676, 'node': {'name': 'Java'}}]}",{'totalCount': 21534},https://github.com/scwang90/SmartRefreshLayout,git@github.com:scwang90/SmartRefreshLayout.git,{'totalCount': 8}
CymChad/BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,"{'totalSize': 353909, 'totalCount': 2, 'edges': [{'size': 197231, 'node': {'name': 'Java'}}]}",{'totalCount': 20810},https://github.com/CymChad/BaseRecyclerViewAdapterHelper,git@github.com:CymChad/BaseRecyclerViewAdapterHelper.git,{'totalCount': 191}
Netflix/Hystrix,2012-11-19T20:14:46Z,"{'totalSize': 3425715, 'totalCount': 4, 'edges': [{'size': 3375198, 'node': {'name': 'Java'}}]}",{'totalCount': 20357},https://github.com/Netflix/Hystrix,git@github.com:Netflix/Hystrix.git,{'totalCount': 79}
ReactiveX/RxAndroid,2014-08-19T03:46:38Z,"{'totalSize': 64065, 'totalCount': 2, 'edges': [{'size': 63017, 'node': {'name': 'Java'}}]}",{'totalCount': 19150},https://github.com/ReactiveX/RxAndroid,git@github.com:ReactiveX/RxAndroid.git,{'totalCount': 18}
geekxh/hello-algorithm,2020-05-29T05:47:09Z,"{'totalSize': 73641, 'totalCount': 1, 'edges': [{'size': 73641, 'node': {'name': 'Java'}}]}",{'totalCount': 19090},https://github.com/geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,{'totalCount': 0}
SeleniumHQ/selenium,2013-01-14T21:40:56Z,"{'totalSize': 19353455, 'totalCount': 17, 'edges': [{'size': 5976449, 'node': {'name': 'Java'}}]}",{'totalCount': 18737},https://github.com/SeleniumHQ/selenium,git@github.com:SeleniumHQ/selenium.git,{'totalCount': 27}
lenve/vhr,2018-01-04T08:57:51Z,"{'totalSize': 863587, 'totalCount': 2, 'edges': [{'size': 463602, 'node': {'name': 'Java'}}]}",{'totalCount': 18709},https://github.com/lenve/vhr,git@github.com:lenve/vhr.git,{'totalCount': 0}
google/gson,2015-03-19T18:21:20Z,"{'totalSize': 1287710, 'totalCount': 1, 'edges': [{'size': 1287710, 'node': {'name': 'Java'}}]}",{'totalCount': 18584},https://github.com/google/gson,git@github.com:google/gson.git,{'totalCount': 0}
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,"{'totalSize': 749820, 'totalCount': 7, 'edges': [{'size': 658368, 'node': {'name': 'Java'}}]}",{'totalCount': 18045},https://github.com/xkcoding/spring-boot-demo,git@github.com:xkcoding/spring-boot-demo.git,{'totalCount': 0}
square/picasso,2013-05-14T15:07:47Z,"{'totalSize': 453874, 'totalCount': 5, 'edges': [{'size': 339500, 'node': {'name': 'Java'}}]}",{'totalCount': 17662},https://github.com/square/picasso,git@github.com:square/picasso.git,{'totalCount': 7}
libgdx/libgdx,2012-08-10T19:34:38Z,"{'totalSize': 39333932, 'totalCount': 23, 'edges': [{'size': 14922742, 'node': {'name': 'Java'}}]}",{'totalCount': 17461},https://github.com/libgdx/libgdx,git@github.com:libgdx/libgdx.git,{'totalCount': 4}
seata/seata,2018-12-28T08:37:22Z,"{'totalSize': 4499837, 'totalCount': 7, 'edges': [{'size': 4416837, 'node': {'name': 'Java'}}]}",{'totalCount': 17399},https://github.com/seata/seata,git@github.com:seata/seata.git,{'totalCount': 28}
hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,"{'totalSize': 749, 'totalCount': 1, 'edges': [{'size': 749, 'node': {'name': 'Java'}}]}",{'totalCount': 17234},https://github.com/hollischuang/toBeTopJavaer,git@github.com:hollischuang/toBeTopJavaer.git,{'totalCount': 0}
chrisbanes/PhotoView,2012-07-17T16:39:00Z,"{'totalSize': 51764, 'totalCount': 1, 'edges': [{'size': 51764, 'node': {'name': 'Java'}}]}",{'totalCount': 17177},https://github.com/chrisbanes/PhotoView,git@github.com:chrisbanes/PhotoView.git,{'totalCount': 5}
alibaba/easyexcel,2018-02-06T03:14:08Z,"{'totalSize': 1029384, 'totalCount': 1, 'edges': [{'size': 1029384, 'node': {'name': 'Java'}}]}",{'totalCount': 17114},https://github.com/alibaba/easyexcel,git@github.com:alibaba/easyexcel.git,{'totalCount': 1}
apache/kafka,2011-08-15T18:06:16Z,"{'totalSize': 33458089, 'totalCount': 8, 'edges': [{'size': 24476746, 'node': {'name': 'Java'}}]}",{'totalCount': 16986},https://github.com/apache/kafka,git@github.com:apache/kafka.git,{'totalCount': 0}
qiurunze123/miaosha,2018-09-14T04:36:24Z,"{'totalSize': 2489508, 'totalCount': 6, 'edges': [{'size': 1738286, 'node': {'name': 'Java'}}]}",{'totalCount': 16958},https://github.com/qiurunze123/miaosha,git@github.com:qiurunze123/miaosha.git,{'totalCount': 0}
wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,"{'totalSize': 813337, 'totalCount': 6, 'edges': [{'size': 752028, 'node': {'name': 'Java'}}]}",{'totalCount': 16868},https://github.com/wuyouzhuguli/SpringAll,git@github.com:wuyouzhuguli/SpringAll.git,{'totalCount': 0}
halo-dev/halo,2018-03-21T12:56:52Z,"{'totalSize': 1566311, 'totalCount': 6, 'edges': [{'size': 1296163, 'node': {'name': 'Java'}}]}",{'totalCount': 16806},https://github.com/halo-dev/halo,git@github.com:halo-dev/halo.git,{'totalCount': 58}
nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,"{'totalSize': 348510, 'totalCount': 1, 'edges': [{'size': 348510, 'node': {'name': 'Java'}}]}",{'totalCount': 16750},https://github.com/nostra13/Android-Universal-Image-Loader,git@github.com:nostra13/Android-Universal-Image-Loader.git,{'totalCount': 0}
google/ExoPlayer,2014-06-13T21:19:18Z,"{'totalSize': 10858157, 'totalCount': 5, 'edges': [{'size': 10725091, 'node': {'name': 'Java'}}]}",{'totalCount': 16411},https://github.com/google/ExoPlayer,git@github.com:google/ExoPlayer.git,{'totalCount': 2}
facebook/fresco,2015-03-02T09:58:04Z,"{'totalSize': 4017303, 'totalCount': 7, 'edges': [{'size': 3708431, 'node': {'name': 'Java'}}]}",{'totalCount': 16331},https://github.com/facebook/fresco,git@github.com:facebook/fresco.git,{'totalCount': 42}
jenkinsci/jenkins,2010-11-22T21:21:23Z,"{'totalSize': 12783040, 'totalCount': 14, 'edges': [{'size': 10900112, 'node': {'name': 'Java'}}]}",{'totalCount': 16210},https://github.com/jenkinsci/jenkins,git@github.com:jenkinsci/jenkins.git,{'totalCount': 62}
alibaba/canal,2013-01-13T10:59:52Z,"{'totalSize': 3323713, 'totalCount': 11, 'edges': [{'size': 3133907, 'node': {'name': 'Java'}}]}",{'totalCount': 15880},https://github.com/alibaba/canal,git@github.com:alibaba/canal.git,{'totalCount': 20}
looly/hutool,2014-04-13T07:23:51Z,"{'totalSize': 5226716, 'totalCount': 5, 'edges': [{'size': 5222362, 'node': {'name': 'Java'}}]}",{'totalCount': 15800},https://github.com/looly/hutool,git@github.com:looly/hutool.git,{'totalCount': 67}
alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,"{'totalSize': 1254658, 'totalCount': 4, 'edges': [{'size': 1252353, 'node': {'name': 'Java'}}]}",{'totalCount': 15792},https://github.com/alibaba/spring-cloud-alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,{'totalCount': 16}
xuxueli/xxl-job,2015-11-28T12:59:34Z,"{'totalSize': 776624, 'totalCount': 2, 'edges': [{'size': 776097, 'node': {'name': 'Java'}}]}",{'totalCount': 15757},https://github.com/xuxueli/xxl-job,git@github.com:xuxueli/xxl-job.git,{'totalCount': 29}
shuzheng/zheng,2016-10-04T10:07:06Z,"{'totalSize': 2296669, 'totalCount': 6, 'edges': [{'size': 1605082, 'node': {'name': 'Java'}}]}",{'totalCount': 15623},https://github.com/shuzheng/zheng,git@github.com:shuzheng/zheng.git,{'totalCount': 0}
didi/DoraemonKit,2018-08-14T10:32:07Z,"{'totalSize': 6009603, 'totalCount': 10, 'edges': [{'size': 3147903, 'node': {'name': 'Java'}}]}",{'totalCount': 15607},https://github.com/didi/DoraemonKit,git@github.com:didi/DoraemonKit.git,{'totalCount': 3}
zhangdaiscott/jeecg-boot,2018-11-26T10:40:00Z,"{'totalSize': 6059959, 'totalCount': 5, 'edges': [{'size': 4754739, 'node': {'name': 'Java'}}]}",{'totalCount': 15526},https://github.com/zhangdaiscott/jeecg-boot,git@github.com:zhangdaiscott/jeecg-boot.git,{'totalCount': 8}
bazelbuild/bazel,2014-06-12T16:00:38Z,"{'totalSize': 46202190, 'totalCount': 15, 'edges': [{'size': 38934702, 'node': {'name': 'Java'}}]}",{'totalCount': 15433},https://github.com/bazelbuild/bazel,git@github.com:bazelbuild/bazel.git,{'totalCount': 91}
Tencent/tinker,2016-09-06T06:57:52Z,"{'totalSize': 1727818, 'totalCount': 4, 'edges': [{'size': 1606048, 'node': {'name': 'Java'}}]}",{'totalCount': 15351},https://github.com/Tencent/tinker,git@github.com:Tencent/tinker.git,{'totalCount': 33}
dbeaver/dbeaver,2015-10-21T08:26:28Z,"{'totalSize': 20403206, 'totalCount': 8, 'edges': [{'size': 20162886, 'node': {'name': 'Java'}}]}",{'totalCount': 15338},https://github.com/dbeaver/dbeaver,git@github.com:dbeaver/dbeaver.git,{'totalCount': 112}
CarGuo/GSYVideoPlayer,2016-11-13T12:34:31Z,"{'totalSize': 1436943, 'totalCount': 2, 'edges': [{'size': 1404290, 'node': {'name': 'Java'}}]}",{'totalCount': 14932},https://github.com/CarGuo/GSYVideoPlayer,git@github.com:CarGuo/GSYVideoPlayer.git,{'totalCount': 19}
apache/skywalking,2015-11-07T03:30:36Z,"{'totalSize': 10220801, 'totalCount': 13, 'edges': [{'size': 9995609, 'node': {'name': 'Java'}}]}",{'totalCount': 14761},https://github.com/apache/skywalking,git@github.com:apache/skywalking.git,{'totalCount': 40}
android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,"{'totalSize': 153708, 'totalCount': 1, 'edges': [{'size': 153708, 'node': {'name': 'Java'}}]}",{'totalCount': 14504},https://github.com/android10/Android-CleanArchitecture,git@github.com:android10/Android-CleanArchitecture.git,{'totalCount': 0}
redisson/redisson,2014-01-11T14:06:25Z,"{'totalSize': 8987982, 'totalCount': 1, 'edges': [{'size': 8987982, 'node': {'name': 'Java'}}]}",{'totalCount': 14454},https://github.com/redisson/redisson,git@github.com:redisson/redisson.git,{'totalCount': 86}
alibaba/nacos,2018-06-15T06:49:27Z,"{'totalSize': 5265380, 'totalCount': 6, 'edges': [{'size': 5167357, 'node': {'name': 'Java'}}]}",{'totalCount': 14344},https://github.com/alibaba/nacos,git@github.com:alibaba/nacos.git,{'totalCount': 29}
mybatis/mybatis-3,2013-02-14T19:03:32Z,"{'totalSize': 3283499, 'totalCount': 5, 'edges': [{'size': 3261139, 'node': {'name': 'Java'}}]}",{'totalCount': 14335},https://github.com/mybatis/mybatis-3,git@github.com:mybatis/mybatis-3.git,{'totalCount': 32}
dianping/cat,2012-12-05T02:31:48Z,"{'totalSize': 22246497, 'totalCount': 15, 'edges': [{'size': 20262295, 'node': {'name': 'Java'}}]}",{'totalCount': 14311},https://github.com/dianping/cat,git@github.com:dianping/cat.git,{'totalCount': 0}
linlinjava/litemall,2018-03-22T16:42:30Z,"{'totalSize': 5346828, 'totalCount': 8, 'edges': [{'size': 3935213, 'node': {'name': 'Java'}}]}",{'totalCount': 14311},https://github.com/linlinjava/litemall,git@github.com:linlinjava/litemall.git,{'totalCount': 7}
apache/flink,2014-06-07T07:00:10Z,"{'totalSize': 78124331, 'totalCount': 14, 'edges': [{'size': 60758591, 'node': {'name': 'Java'}}]}",{'totalCount': 14260},https://github.com/apache/flink,git@github.com:apache/flink.git,{'totalCount': 0}
forezp/SpringCloudLearning,2017-04-08T10:06:56Z,"{'totalSize': 177365, 'totalCount': 3, 'edges': [{'size': 173170, 'node': {'name': 'Java'}}]}",{'totalCount': 14241},https://github.com/forezp/SpringCloudLearning,git@github.com:forezp/SpringCloudLearning.git,{'totalCount': 0}
winterbe/java8-tutorial,2014-03-16T17:25:43Z,"{'totalSize': 110664, 'totalCount': 2, 'edges': [{'size': 102396, 'node': {'name': 'Java'}}]}",{'totalCount': 13900},https://github.com/winterbe/java8-tutorial,git@github.com:winterbe/java8-tutorial.git,{'totalCount': 0}
alibaba/Sentinel,2018-04-04T06:37:33Z,"{'totalSize': 3921519, 'totalCount': 6, 'edges': [{'size': 3501615, 'node': {'name': 'Java'}}]}",{'totalCount': 13877},https://github.com/alibaba/Sentinel,git@github.com:alibaba/Sentinel.git,{'totalCount': 16}
brettwooldridge/HikariCP,2013-10-08T05:43:03Z,"{'totalSize': 623305, 'totalCount': 2, 'edges': [{'size': 613307, 'node': {'name': 'Java'}}]}",{'totalCount': 13812},https://github.com/brettwooldridge/HikariCP,git@github.com:brettwooldridge/HikariCP.git,{'totalCount': 0}
signalapp/Signal-Android,2011-12-15T20:01:12Z,"{'totalSize': 9779204, 'totalCount': 6, 'edges': [{'size': 9765112, 'node': {'name': 'Java'}}]}",{'totalCount': 13780},https://github.com/signalapp/Signal-Android,git@github.com:signalapp/Signal-Android.git,{'totalCount': 0}
oracle/graal,2016-01-14T17:11:35Z,"{'totalSize': 66738098, 'totalCount': 19, 'edges': [{'size': 61416295, 'node': {'name': 'Java'}}]}",{'totalCount': 13628},https://github.com/oracle/graal,git@github.com:oracle/graal.git,{'totalCount': 32}
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,2012-11-24T00:14:41Z,"{'totalSize': 84991, 'totalCount': 1, 'edges': [{'size': 84991, 'node': {'name': 'Java'}}]}",{'totalCount': 13554},https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,{'totalCount': 0}
JeffLi1993/springboot-learning-example,2017-02-06T07:02:25Z,"{'totalSize': 228034, 'totalCount': 4, 'edges': [{'size': 204114, 'node': {'name': 'Java'}}]}",{'totalCount': 13533},https://github.com/JeffLi1993/springboot-learning-example,git@github.com:JeffLi1993/springboot-learning-example.git,{'totalCount': 0}
openzipkin/zipkin,2012-06-06T18:26:16Z,"{'totalSize': 2847120, 'totalCount': 7, 'edges': [{'size': 2280501, 'node': {'name': 'Java'}}]}",{'totalCount': 13453},https://github.com/openzipkin/zipkin,git@github.com:openzipkin/zipkin.git,{'totalCount': 60}
hdodenhof/CircleImageView,2014-01-17T16:44:46Z,"{'totalSize': 15775, 'totalCount': 1, 'edges': [{'size': 15775, 'node': {'name': 'Java'}}]}",{'totalCount': 13438},https://github.com/hdodenhof/CircleImageView,git@github.com:hdodenhof/CircleImageView.git,{'totalCount': 0}
lgvalle/Material-Animations,2015-03-08T20:54:00Z,"{'totalSize': 45455, 'totalCount': 1, 'edges': [{'size': 45455, 'node': {'name': 'Java'}}]}",{'totalCount': 13432},https://github.com/lgvalle/Material-Animations,git@github.com:lgvalle/Material-Animations.git,{'totalCount': 0}
react-native-community/lottie-react-native,2017-01-27T18:24:50Z,"{'totalSize': 52617, 'totalCount': 6, 'edges': [{'size': 18692, 'node': {'name': 'Java'}}]}",{'totalCount': 13401},https://github.com/react-native-community/lottie-react-native,git@github.com:react-native-community/lottie-react-native.git,{'totalCount': 0}
LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,"{'totalSize': 708588, 'totalCount': 3, 'edges': [{'size': 695963, 'node': {'name': 'Java'}}]}",{'totalCount': 13003},https://github.com/LMAX-Exchange/disruptor,git@github.com:LMAX-Exchange/disruptor.git,{'totalCount': 10}
orhanobut/logger,2015-03-20T22:30:12Z,"{'totalSize': 57550, 'totalCount': 2, 'edges': [{'size': 36021, 'node': {'name': 'Java'}}]}",{'totalCount': 12477},https://github.com/orhanobut/logger,git@github.com:orhanobut/logger.git,{'totalCount': 16}
alibaba/ARouter,2016-12-14T01:27:49Z,"{'totalSize': 231231, 'totalCount': 4, 'edges': [{'size': 207265, 'node': {'name': 'Java'}}]}",{'totalCount': 12417},https://github.com/alibaba/ARouter,git@github.com:alibaba/ARouter.git,{'totalCount': 15}
apache/rocketmq,2016-11-30T08:00:08Z,"{'totalSize': 5512776, 'totalCount': 5, 'edges': [{'size': 5445014, 'node': {'name': 'Java'}}]}",{'totalCount': 12382},https://github.com/apache/rocketmq,git@github.com:apache/rocketmq.git,{'totalCount': 0}
Tencent/QMUI_Android,2017-04-21T10:03:18Z,"{'totalSize': 3307410, 'totalCount': 5, 'edges': [{'size': 3272491, 'node': {'name': 'Java'}}]}",{'totalCount': 12238},https://github.com/Tencent/QMUI_Android,git@github.com:Tencent/QMUI_Android.git,{'totalCount': 33}
greenrobot/greenDAO,2011-10-22T16:15:14Z,"{'totalSize': 1021517, 'totalCount': 3, 'edges': [{'size': 956800, 'node': {'name': 'Java'}}]}",{'totalCount': 12216},https://github.com/greenrobot/greenDAO,git@github.com:greenrobot/greenDAO.git,{'totalCount': 8}
apache/shardingsphere,2016-01-18T12:49:26Z,"{'totalSize': 9402526, 'totalCount': 5, 'edges': [{'size': 9016835, 'node': {'name': 'Java'}}]}",{'totalCount': 12158},https://github.com/apache/shardingsphere,git@github.com:apache/shardingsphere.git,{'totalCount': 42}
Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,"{'totalSize': 223851, 'totalCount': 1, 'edges': [{'size': 223851, 'node': {'name': 'Java'}}]}",{'totalCount': 12141},https://github.com/Bigkoo/Android-PickerView,git@github.com:Bigkoo/Android-PickerView.git,{'totalCount': 0}
dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,"{'totalSize': 418266, 'totalCount': 4, 'edges': [{'size': 250363, 'node': {'name': 'Java'}}]}",{'totalCount': 12127},https://github.com/dyc87112/SpringBoot-Learning,git@github.com:dyc87112/SpringBoot-Learning.git,{'totalCount': 0}
